Input.professor,Input.university,Input.urls,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs,Approve,Reject
romit roy choudhury,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1690'>http://www.cs.duke.edu/people/faculty/?csid=1690</a>,Haldia Institute of Technology,University of Illinois at Urbana-Champaign,,University of Illinois at Urbana-Champaign,,Assistant,Hardware & Architecture,http://www.ece.illinois.edu/directory/profile.asp?croy,,
romit roy choudhury,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1690'>http://www.cs.duke.edu/people/faculty/?csid=1690</a>,Haldia Institute of Technology,University of Illinois,,University of Illinois,,Associate,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=1690,,
ronald e. parr,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=442'>http://www.cs.duke.edu/people/faculty/?csid=442</a>,Princeton University,University of California,2013,,,Full,Artificial Intelligence,,,
savan mukherjee,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1606'>http://www.cs.duke.edu/people/faculty/?csid=1606</a>,,,,,,Associate,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=1606,,
dieter fox,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/fox'>http://www.cs.washington.edu/people/faculty/fox</a>,"University of Bonn,","University of Bonn,",2013,"University of Bonn,",,Full,Algorithms & Theory,http://www.cs.washington.edu/people/faculty/fox/cv/,,
sayan mukherjee,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1606'>http://www.cs.duke.edu/people/faculty/?csid=1606</a>,,,,,,Associate,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=1606,,
ed lazowska,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/lazowska'>http://www.cs.washington.edu/people/faculty/lazowska</a>,Brown University,University of Toronto,,,,Adjunct,Computer Education,http://www.cs.washington.edu/people/faculty/lazowska/,,
emanuel todorov,University of Washington,<a href='http://homes.cs.washington.edu/~todorov'>http://homes.cs.washington.edu/~todorov</a>,,,,,,Assistant,Bioinformatics & Computational Biology,http://homes.cs.washington.edu/~todorov/,,
tabitha peck,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3925'>http://www.cs.duke.edu/people/faculty/?csid=3925</a>,,,,,,,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3925,,
tabitha peck,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3925'>http://www.cs.duke.edu/people/faculty/?csid=3925</a>,"Carnegie Mellon University. Pittsburgh, PA",The University of North Carolina,2012,The University of Barcelona,The University of Barcelona,Visiting,Computer Education,http://www.cs.duke.edu/~tpeck/,,
hellmut golde,University of Washington,<a href='http://www.cs.washington.edu/people/faculty'>http://www.cs.washington.edu/people/faculty</a>,,,,,,Full,Computer Education,http://www.cs.washington.edu/node/7907/,,
theo benson,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3930'>http://www.cs.duke.edu/people/faculty/?csid=3930</a>,Tufts University,"University of Wisconsin, Madison",2013,"University of Wisconsin, Madison",,Assistant,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3930,,
