ken perlin , New York University , http://mrl.nyu.edu/~perlin
kenneth perlin , New York University , http://mrl.nyu.edu/~perlin
lakshminarayanan subramanian , New York University , http://cs.nyu.edu/~lakshmi/Home.html
leslie greengard , New York University , http://math.nyu.edu/faculty/greengar/index.html
lloyd n. trefethen , New York University , http://cs.nyu.edu/cs/faculty/trefethen
margaret h. wright , New York University , http://cs.nyu.edu/mhw
margaret wright , New York University , http://cs.nyu.edu/mhw
marsha berger , New York University , http://cs.nyu.edu/~berger
martin davis , New York University , http://www.cs.nyu.edu/faculty/davism
mehryar mohri , New York University , http://cs.nyu.edu/cs/faculty/mohri
michael l. overton , New York University , http://cs.nyu.edu/cs/faculty/overton
michael overton , New York University , http://cs.nyu.edu/cs/faculty/overton
michael walfish , New York University , http://www.cs.utexas.edu/~mwalfish
mohamed zahran , New York University , http://www.mzahran.com
nasir memon , New York University , http://isis.poly.edu/memon/contact.php
natalie jeremijenko , New York University , http://steinhardt.nyu.edu/faculty_bios/view/Natalie_Jeremijenko
nathan hull , New York University , http://cs.nyu.edu/cs/faculty/hull/Welcome.html
nathaniel daw , New York University , http://psych.nyu.edu/daw
nick trefethen , New York University , http://cs.nyu.edu/cs/faculty/trefethen
oded regev , New York University , http://www.cims.nyu.edu/~regev
olof b. widlund , New York University , http://cs.nyu.edu/cs/faculty/widlund
olof widlund , New York University , http://cs.nyu.edu/cs/faculty/widlund
panayotis mavromatis , New York University , http://steinhardt.nyu.edu/faculty_bios/view/Panayotis_Mavromatis
panos ipeirotis , New York University , http://pages.stern.nyu.edu/~panos
patrick cousot , New York University , http://cs.nyu.edu/~pcousot
paul m. horn , New York University , http://www.nyu.edu/about/leadership-university-administration/office-of-the-president/office-of-the-provost/research-engineering-technology/bios/paul-horn.html
ralph grishman , New York University , http://cs.nyu.edu/cs/faculty/grishman
richard bonneau , New York University , http://files.nyu.edu/rb133/public http://bonneaulab.bio.nyu.edu
richard cole , New York University , http://cs.nyu.edu/cs/faculty/cole
rob fergus , New York University , http://cs.nyu.edu/~fergus/pmwiki/pmwiki.php
robert grimm , New York University , http://cs.nyu.edu/~rgrimm
sana odeh , New York University , http://cs.nyu.edu/~odeh
satoshi sekine , New York University , http://nlp.cs.nyu.edu/sekine
subhash khot , New York University , http://cs.nyu.edu/~khot
tamar schlick , New York University , http://www.biomath.nyu.edu/index/people/tamar_schlick.html
theodore (ted) s. rappaport , New York University , http://faculty.poly.edu/~tsr
theodore rappaport , New York University , http://faculty.poly.edu/~tsr
