Input.professor,Input.university,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs
michael overton,New York University,"University of British Columbia,BSc",Stanford University,1979,"Stanford University,MS",,Associate,Computer Vision,"http://www.linkedin.com/pub/dir/Michael/Overton,   scholar.google.com/citations?user=q6LXYtUAAAAJ&hl=en"
michael walfish,New York University,Harvard University,Massachusetts Institute of Technology,2013,,,Associate,Computer Education,http://www.cs.utexas.edu/~mwalfish/bio.html http://www.cs.utexas.edu/~mwalfish/
mike scott,University of Texas-Austin,Stanford University,,2007,Rennselaer Polytechnic Institute,,Lecturer,Computer Education,http://www.cs.utexas.edu/~scottm/cv.pdf
mohamed g. gouda,University of Texas-Austin,Cairo University,University of Waterloo,1980,York University,,Full,Operating Systems,http://www.cs.utexas.edu/~gouda/resume.pdf
mohamed zahran,New York University,Cairo University,University of Maryland at College Park,2010,Cairo University,,Associate,Hardware & Architecture,http://www.mzahran.com/cv.pdf
nick pears,New York University,Durham University,Durham University,,,Oxford University,Lecturer,Computer Vision,
olof widlund,New York University,,,,,,Full,Algorithms & Theory,http://cs.nyu.edu/cs/faculty/widlund/
oren etzioni,University of Washington,Harvard University,Carnegie Mellon University,1991,,,Full,Computer Education,http://homes.cs.washington.edu/~etzioni/bio.html
owen astrachan,Duke University,Dartmouth College,Duke University,2000,Duke University,,Full,Computer Education,http://www.cs.duke.edu/~ola/olavita.pdf
panayotis mavromatis,New York University,Cambridge University in England,Eastman School of Music,,Boston University,,Associate,Multimedia,http://steinhardt.nyu.edu/faculty_bios/view/Panayotis_Mavromatis
pankaj k. agarwal,Duke University,University of Roorkee,Courant Institute of Mathematical Sciences,2002,University of California-Santa Barbara,,Full,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=8
peter stone,University of Texas-Austin,"The University of Chicago ,",Carnegie Mellon University,2012,Carnegie Mellon University,,Full,Computer Education,http://www.cs.utexas.edu/~pstone/cv/cv.pdf
philip cannata,University of Texas-Austin,University of Notre Dame,University of Notre Dame,,,,Adjunct,Software Engineering,http://www.cs.utexas.edu/users/cannata/
prof nc audsley,New York University,,,,,,Full,Real-Time & Embedded Systems,
rachael brady,Duke University,Macalester College,,,University of California,,Other,Algorithms & Theory,http://www.cs.duke.edu/~rbrady
ralph grishman,New York University,Columbia College,Columbia University,1983,Columbia University,,Full,Algorithms & Theory,http://cs.nyu.edu/grishman/cv.html
raluca-mihaela gordan,Duke University,N/A,Duke University,2011,N/A,Harvard Medical School,Assistant,Bioinformatics & Computational Biology,http://www.cs.duke.edu/people/faculty/?csid=1579
raymond j. mooney,University of Texas-Austin,University of Illinois at Urbana/Champaign,University of Illinois at Urbana/Champaign,1987,University of Illinois at Urbana/Champaign,,Full,Artificial Intelligence,http://www.cs.utexas.edu/~mooney/
