46Name,Zoran Popović,,
46Url,https://homes.cs.washington.edu/~zoran/,,
47Name,Anup Rao,,
47Url,https://www.cs.washington.edu/people/faculty/anuprao/,,
48Name,Rajesh Rao,,
48Url,http://www.cs.washington.edu/people/faculty/rao/,,
49Name,Stuart Reges,,
49Url,http://www.cs.washington.edu/people/faculty/reges/,,
50Name,Matt Reynolds,,
50Url,http://fds.duke.edu/db/pratt/ECE/matt.reynolds,,
51Name,Larry Ruzzo,,
51Url,http://www.cs.washington.edu/people/faculty/ruzzo/,,
52Name,Georg Seelig,,
52Url,http://homes.cs.washington.edu/~seelig/,,
53Name,Steven Seitz,,
53Url,http://www.cs.washington.edu/people/faculty/seitz/,,
54Name,Linda Shapiro,,
54Url,http://homes.cs.washington.edu/~shapiro/,,
55Name,Alan Shaw,,
55Url,http://www.cs.washington.edu/people/faculty/shaw,,
56Name,Joshua R. Smith,,
56Url,https://www.cs.washington.edu/people/faculty/jrs/,,
57Name,Larry Snyder,,
57Url,http://www.cs.washington.edu/people/faculty/snyder,,
58Name,Dan Suciu,,
58Url,http://www.cs.washington.edu/people/faculty/suciu/,,
59Name,Steve Tanimoto,,
59Url,http://www.cs.washington.edu/people/faculty/tanimoto/,,
60Name,Zachary Tatlock,,
60Url,http://homes.cs.washington.edu/~ztatlock/,,
61Name,Emanuel Todorov,,
61Url,http://homes.cs.washington.edu/~todorov/,,
62Name,Martin Tompa,,
62Url,http://www.cs.washington.edu/people/faculty/tompa/,,
63Name,Daniel S. Weld,,
63Url,http://www.cs.washington.edu/people/faculty/weld/,,
64Name,David Wetherall,,
64Url,http://djw.cs.washington.edu/,,
65Name,John Zahorjan,,
65Url,http://homes.cs.washington.edu/~zahorjan/homepage/,,
66Name,Luke Zettlemoyer,,
66Url,http://www.cs.washington.edu/people/faculty/lsz/,,
67Name,,,
67Url,,,
68Name,,,
68Url,,,
69Name,,,
69Url,,,
70Name,,,
70Url,,,
71Name,,,
71Url,,,
72Name,,,
72Url,,,
73Name,,,
73Url,,,
74Name,,,
74Url,,,
75Name,,,
75Url,,,
76Name,,,
76Url,,,
77Name,,,
77Url,,,
78Name,,,
78Url,,,
79Name,,,
79Url,,,
80Name,,,
80Url,,,
81Name,,,
81Url,,,
82Name,,,
82Url,,,
83Name,,,
83Url,,,
84Name,,,
84Url,,,
85Name,,,
85Url,,,
86Name,,,
86Url,,,
87Name,,,
87Url,,,
88Name,,,
88Url,,,
89Name,,,
89Url,,,
90Name,,,
90Url,,,
91Name,,,
91Url,,,
92Name,,,
92Url,,,
93Name,,,
93Url,,,
94Name,,,
94Url,,,
95Name,,,
95Url,,,
96Name,,,
96Url,,,
97Name,,,
97Url,,,
98Name,,,
98Url,,,
99Name,,,
99Url,,,
100Name,,,
100Url,,,
