professor, university, urls
"william d. (bill) young", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~byoung'>http://www.cs.utexas.edu/~byoung</a>
"william d. young", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~byoung'>http://www.cs.utexas.edu/~byoung</a>
"william h. press", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/press'>http://www.cs.utexas.edu/faculty/press</a> or <a href='http://nr.com/whp'>http://nr.com/whp</a>
"william r. cook", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/%7Ewcook'>http://www.cs.utexas.edu/%7Ewcook</a> or <a href='http://www.cs.utexas.edu/~wcook'>http://www.cs.utexas.edu/~wcook</a> or <a href='http://www.cs.utexas.edu/faculty/cook'>http://www.cs.utexas.edu/faculty/cook</a>
"yin zhang", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/zhang'>http://www.cs.utexas.edu/faculty/zhang</a> or <a href='http://www.cs.utexas.edu/~yzhang'>http://www.cs.utexas.edu/~yzhang</a>
"alan w. biermann", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=13'>http://www.cs.duke.edu/people/faculty/?csid=13</a>
"alexander j. hartemink", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=917'>http://www.cs.duke.edu/people/faculty/?csid=917</a>
"alvin r. lebeck", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=22'>http://www.cs.duke.edu/people/faculty/?csid=22</a>
"andrew hilton", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3797'>http://www.cs.duke.edu/people/faculty/?csid=3797</a>
"ashwin machanavajjhala", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3924'>http://www.cs.duke.edu/people/faculty/?csid=3924</a>
"barbara e. engelhardt", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3938'>http://www.cs.duke.edu/people/faculty/?csid=3938</a>
"benjamin c. lee", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3716'>http://www.cs.duke.edu/people/faculty/?csid=3716</a>
"bruce maggs", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=2044'>http://www.cs.duke.edu/people/faculty/?csid=2044</a>
"bruce r. donald", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1611'>http://www.cs.duke.edu/people/faculty/?csid=1611</a>
"c. frank starmer", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=35'>http://www.cs.duke.edu/people/faculty/?csid=35</a>
"carla schlatter ellis", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=16'>http://www.cs.duke.edu/people/faculty/?csid=16</a>
"carlile lavor", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=4394'>http://www.cs.duke.edu/people/faculty/?csid=4394</a>
"carlo tomasi", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=920'>http://www.cs.duke.edu/people/faculty/?csid=920</a>
"chris dwyer", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3938'>http://www.cs.duke.edu/people/faculty/?csid=3938</a> or <a href='http://www.cs.duke.edu/people/faculty/?csid=1435'>http://www.cs.duke.edu/people/faculty/?csid=1435</a>
"craig henriquez", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=916'>http://www.cs.duke.edu/people/faculty/?csid=916</a>
"daniel j. sorin", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1280'>http://www.cs.duke.edu/people/faculty/?csid=1280</a>
"debmalya panigrahi", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3929'>http://www.cs.duke.edu/people/faculty/?csid=3929</a>
"dietolf ramm", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=30'>http://www.cs.duke.edu/people/faculty/?csid=30</a>
"donald j. rose", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=34'>http://www.cs.duke.edu/people/faculty/?csid=34</a>
